dia;dia_semana;fim_semana;local;atividade;duracao;frequencia;duracao/frequencia
1;3;0;3;Sleeping;28459;2;14229
1;3;0;4;Bed_to_Toilet;158;1;158
1;3;0;9;Relax;2262;3;754
1;3;0;10;Relax;1578;2;789
1;3;0;14;Eating;626;4;156
1;3;0;18;Meal_Preparation;4037;9;448
2;4;0;3;Sleeping;48019;3;16006
2;4;0;4;Bed_to_Toilet;160;1;160
2;4;0;9;Relax;585;2;292
2;4;0;14;Eating;209;1;209
2;4;0;18;Meal_Preparation;481;3;160
3;5;1;3;Sleeping;16215;1;16215
3;5;1;4;Bed_to_Toilet;189;1;189
3;5;1;9;Relax;12578;7;1796
3;5;1;14;Eating;1795;3;598
3;5;1;18;Meal_Preparation;1289;4;322
4;6;1;3;Sleeping;47460;5;9492
4;6;1;4;Bed_to_Toilet;348;3;116
4;6;1;9;Relax;28849;18;1602
4;6;1;14;Eating;4672;10;467
4;6;1;18;Meal_Preparation;1790;8;223
4;6;1;19;Meal_Preparation;108;1;108
5;0;0;3;Sleeping;10732;2;5366
5;0;0;4;Bed_to_Toilet;184;1;184
5;0;0;9;Relax;25717;13;1978
5;0;0;14;Eating;3224;5;644
5;0;0;18;Meal_Preparation;2118;11;192
6;1;0;3;Sleeping;29059;3;9686
6;1;0;4;Bed_to_Toilet;300;2;150
6;1;0;9;Relax;14511;11;1319
6;1;0;10;Relax;255;1;255
6;1;0;14;Eating;2528;7;361
6;1;0;18;Meal_Preparation;1935;9;215
6;1;0;19;Meal_Preparation;880;2;440
7;2;0;3;Sleeping;44323;2;22161
7;2;0;9;Relax;15640;9;1737
7;2;0;14;Eating;1332;3;444
7;2;0;18;Meal_Preparation;1705;5;341
7;2;0;19;Meal_Preparation;492;1;492
8;3;0;3;Sleeping;33273;2;16636
8;3;0;4;Bed_to_Toilet;149;1;149
8;3;0;9;Relax;14913;11;1355
8;3;0;14;Eating;1536;4;384
8;3;0;18;Meal_Preparation;1998;10;199
9;4;0;3;Sleeping;32280;2;16140
9;4;0;4;Bed_to_Toilet;205;1;205
9;4;0;9;Relax;23342;12;1945
9;4;0;14;Eating;1527;3;509
9;4;0;18;Meal_Preparation;2153;10;215
10;5;1;3;Sleeping;39296;2;19648
10;5;1;4;Bed_to_Toilet;227;1;227
10;5;1;9;Relax;20507;10;2050
10;5;1;14;Eating;1210;2;605
10;5;1;18;Meal_Preparation;1924;6;320
11;6;1;3;Sleeping;20231;1;20231
11;6;1;9;Relax;19825;8;2478
11;6;1;10;Relax;1139;1;1139
11;6;1;14;Eating;471;1;471
11;6;1;18;Meal_Preparation;1811;7;258
12;0;0;3;Sleeping;9956;2;4978
12;0;0;4;Bed_to_Toilet;207;1;207
12;0;0;9;Relax;9495;7;1356
12;0;0;10;Relax;190;1;190
12;0;0;14;Eating;2262;3;754
12;0;0;18;Meal_Preparation;2135;4;533
13;1;0;3;Sleeping;31846;2;15923
13;1;0;4;Bed_to_Toilet;117;1;117
13;1;0;9;Relax;29428;17;1731
13;1;0;14;Eating;623;1;623
13;1;0;18;Meal_Preparation;3338;6;556
14;2;0;3;Sleeping;23823;2;11911
14;2;0;4;Bed_to_Toilet;231;2;115
14;2;0;9;Relax;14002;5;2800
14;2;0;14;Eating;1121;2;560
14;2;0;18;Meal_Preparation;1617;2;808
14;2;0;19;Meal_Preparation;126;1;126
15;3;0;3;Sleeping;34383;2;17191
15;3;0;5;Bed_to_Toilet;260;1;260
15;3;0;9;Relax;19217;15;1281
15;3;0;14;Eating;2368;2;1184
15;3;0;18;Meal_Preparation;1163;4;290
16;4;0;3;Sleeping;24381;1;24381
16;4;0;9;Relax;30650;11;2786
16;4;0;14;Eating;1084;1;1084
16;4;0;18;Meal_Preparation;567;3;189
17;5;1;3;Sleeping;31001;4;7750
17;5;1;4;Bed_to_Toilet;246;2;123
17;5;1;9;Relax;18447;10;1844
17;5;1;10;Relax;1223;1;1223
17;5;1;14;Eating;3217;2;1608
17;5;1;18;Meal_Preparation;1741;6;290
18;6;1;3;Sleeping;49462;3;16487
18;6;1;4;Bed_to_Toilet;271;2;135
18;6;1;9;Relax;19499;9;2166
18;6;1;18;Meal_Preparation;851;1;851
19;0;0;3;Sleeping;2652;1;2652
19;0;0;4;Bed_to_Toilet;194;1;194
19;0;0;9;Relax;36070;23;1568
19;0;0;10;Relax;882;1;882
19;0;0;14;Eating;241;1;241
19;0;0;18;Meal_Preparation;1710;8;213
20;1;0;3;Sleeping;29189;2;14594
20;1;0;4;Bed_to_Toilet;184;1;184
20;1;0;9;Relax;35705;19;1879
20;1;0;18;Meal_Preparation;658;1;658
21;2;0;3;Sleeping;28777;3;9592
21;2;0;4;Bed_to_Toilet;318;2;159
21;2;0;9;Relax;25418;13;1955
21;2;0;14;Eating;727;1;727
21;2;0;19;Meal_Preparation;214;1;214
22;3;0;3;Sleeping;29129;3;9709
22;3;0;4;Bed_to_Toilet;382;2;191
22;3;0;9;Relax;11730;6;1955
22;3;0;18;Meal_Preparation;5097;6;849
22;3;0;20;Meal_Preparation;82;1;82
23;4;0;3;Sleeping;49062;3;16354
23;4;0;4;Bed_to_Toilet;215;1;215
23;4;0;9;Relax;27750;16;1734
23;4;0;14;Eating;1537;1;1537
23;4;0;18;Meal_Preparation;1145;4;286
24;5;1;3;Sleeping;33041;3;11013
24;5;1;4;Bed_to_Toilet;319;2;159
24;5;1;9;Relax;26315;14;1879
24;5;1;18;Meal_Preparation;1645;6;274
25;6;1;3;Sleeping;10356;1;10356
25;6;1;4;Bed_to_Toilet;222;1;222
25;6;1;9;Relax;20766;11;1887
25;6;1;12;Relax;609;1;609
25;6;1;14;Eating;1762;2;881
25;6;1;18;Meal_Preparation;4709;6;784
26;0;0;3;Sleeping;22472;3;7490
26;0;0;4;Bed_to_Toilet;39;1;39
26;0;0;9;Relax;18606;7;2658
26;0;0;10;Relax;1183;2;591
26;0;0;14;Eating;474;1;474
26;0;0;18;Meal_Preparation;2461;5;492
27;1;0;3;Sleeping;67318;4;16829
27;1;0;4;Bed_to_Toilet;228;2;114
27;1;0;9;Relax;16311;14;1165
27;1;0;14;Eating;1668;3;556
27;1;0;18;Meal_Preparation;2613;5;522
28;2;0;3;Sleeping;18133;1;18133
28;2;0;9;Relax;25526;13;1963
28;2;0;14;Eating;821;2;410
28;2;0;18;Meal_Preparation;1397;2;698
29;3;0;3;Sleeping;4752;1;4752
29;3;0;4;Bed_to_Toilet;250;1;250
29;3;0;9;Relax;26964;10;2696
29;3;0;14;Eating;1402;2;701
29;3;0;18;Meal_Preparation;1792;4;448
30;4;0;3;Sleeping;29100;2;14550
30;4;0;4;Bed_to_Toilet;150;1;150
30;4;0;9;Relax;23967;15;1597
30;4;0;10;Relax;2139;1;2139
30;4;0;14;Eating;369;1;369
30;4;0;18;Meal_Preparation;1024;4;256
31;5;1;3;Sleeping;48291;4;12072
31;5;1;4;Bed_to_Toilet;339;2;169
31;5;1;9;Relax;18782;12;1565
31;5;1;14;Eating;731;1;731
31;5;1;18;Meal_Preparation;2244;4;561
32;6;1;3;Sleeping;26295;2;13147
32;6;1;4;Bed_to_Toilet;198;1;198
32;6;1;9;Relax;10251;8;1281
32;6;1;18;Meal_Preparation;3225;5;645
33;0;0;3;Sleeping;10887;2;5443
33;0;0;4;Bed_to_Toilet;180;1;180
33;0;0;9;Relax;25918;18;1439
33;0;0;14;Eating;267;1;267
33;0;0;18;Meal_Preparation;848;5;169
34;1;0;3;Sleeping;47912;3;15970
34;1;0;4;Bed_to_Toilet;293;2;146
34;1;0;9;Relax;14387;9;1598
34;1;0;14;Eating;1759;3;586
34;1;0;18;Meal_Preparation;4169;6;694
35;2;0;3;Sleeping;30225;2;15112
35;2;0;4;Bed_to_Toilet;152;1;152
35;2;0;9;Relax;25303;11;2300
35;2;0;14;Eating;606;1;606
35;2;0;18;Meal_Preparation;1125;2;562
36;3;0;3;Sleeping;34408;2;17204
36;3;0;4;Bed_to_Toilet;182;1;182
36;3;0;9;Relax;9662;12;805
36;3;0;14;Eating;208;1;208
36;3;0;18;Meal_Preparation;1409;3;469
37;4;0;9;Relax;18495;10;1849
37;4;0;18;Meal_Preparation;869;2;434
38;5;1;3;Sleeping;39933;3;13311
38;5;1;4;Bed_to_Toilet;176;1;176
38;5;1;9;Relax;32672;17;1921
38;5;1;10;Relax;1122;1;1122
38;5;1;18;Meal_Preparation;646;2;323
39;6;1;3;Sleeping;24880;2;12440
39;6;1;4;Bed_to_Toilet;184;1;184
39;6;1;9;Relax;27760;12;2313
39;6;1;14;Eating;1441;2;720
39;6;1;18;Meal_Preparation;5208;7;744
40;0;0;3;Sleeping;10206;1;10206
40;0;0;4;Bed_to_Toilet;184;1;184
40;0;0;9;Relax;18143;9;2015
40;0;0;10;Relax;1212;2;606
40;0;0;14;Eating;4392;6;732
40;0;0;18;Meal_Preparation;3284;10;328
41;1;0;3;Sleeping;30310;2;15155
41;1;0;4;Bed_to_Toilet;201;1;201
41;1;0;9;Relax;22389;12;1865
41;1;0;14;Eating;1006;3;335
41;1;0;18;Meal_Preparation;3787;7;541
42;2;0;3;Sleeping;29246;3;9748
42;2;0;4;Bed_to_Toilet;246;2;123
42;2;0;9;Relax;29323;15;1954
42;2;0;14;Eating;472;1;472
42;2;0;18;Meal_Preparation;992;1;992
42;2;0;19;Meal_Preparation;495;1;495
43;3;0;3;Sleeping;45040;2;22520
43;3;0;9;Relax;29622;12;2468
43;3;0;14;Eating;265;1;265
43;3;0;18;Meal_Preparation;3803;6;633
44;4;0;3;Sleeping;9007;1;9007
44;4;0;4;Bed_to_Toilet;159;1;159
44;4;0;9;Relax;17138;19;902
44;4;0;14;Eating;260;1;260
44;4;0;18;Meal_Preparation;5614;6;935
45;5;1;3;Sleeping;26655;3;8885
45;5;1;4;Bed_to_Toilet;195;2;97
45;5;1;9;Relax;25234;19;1328
45;5;1;14;Eating;876;2;438
45;5;1;18;Meal_Preparation;4689;6;781
46;6;1;3;Sleeping;23075;3;7691
46;6;1;4;Bed_to_Toilet;279;1;279
46;6;1;9;Relax;19912;15;1327
46;6;1;18;Meal_Preparation;4495;4;1123
47;0;0;3;Sleeping;27369;2;13684
47;0;0;4;Bed_to_Toilet;280;2;140
47;0;0;9;Relax;22499;11;2045
47;0;0;14;Eating;278;1;278
47;0;0;18;Meal_Preparation;1137;3;379
48;1;0;3;Sleeping;35324;1;35324
48;1;0;9;Relax;31460;20;1573
48;1;0;18;Meal_Preparation;5405;10;540
49;2;0;3;Sleeping;30386;3;10128
49;2;0;4;Bed_to_Toilet;259;2;129
49;2;0;9;Relax;26142;24;1089
49;2;0;18;Meal_Preparation;4542;5;908
50;3;0;3;Sleeping;41454;4;10363
50;3;0;4;Bed_to_Toilet;311;3;103
50;3;0;9;Relax;15717;10;1571
50;3;0;18;Meal_Preparation;3799;6;633
50;3;0;19;Meal_Preparation;480;1;480
51;4;0;3;Sleeping;34182;2;17091
51;4;0;4;Bed_to_Toilet;155;1;155
51;4;0;9;Relax;3077;7;439
51;4;0;18;Meal_Preparation;10036;8;1254
52;5;1;3;Sleeping;19985;1;19985
52;5;1;9;Relax;26853;11;2441
52;5;1;18;Meal_Preparation;4827;8;603
53;6;1;3;Sleeping;42126;2;21063
53;6;1;4;Bed_to_Toilet;401;1;401
53;6;1;9;Relax;29960;13;2304
53;6;1;18;Meal_Preparation;1201;3;400
54;0;0;9;Relax;7514;4;1878
54;0;0;18;Meal_Preparation;3403;5;680
55;1;0;3;Sleeping;34632;3;11544
55;1;0;9;Relax;28977;22;1317
55;1;0;14;Eating;981;2;490
55;1;0;18;Meal_Preparation;5692;8;711
56;2;0;3;Sleeping;9038;1;9038
56;2;0;4;Bed_to_Toilet;152;1;152
56;2;0;9;Relax;34252;21;1631
56;2;0;18;Meal_Preparation;617;2;308
56;2;0;19;Meal_Preparation;3120;3;1040
57;3;0;3;Sleeping;17921;1;17921
57;3;0;9;Relax;30584;15;2038
57;3;0;14;Eating;2797;3;932
57;3;0;18;Meal_Preparation;4381;6;730
57;3;0;19;Meal_Preparation;860;1;860
58;4;0;3;Sleeping;22266;3;7422
58;4;0;9;Relax;28799;15;1919
58;4;0;14;Eating;2251;1;2251
58;4;0;18;Meal_Preparation;1240;3;413
58;4;0;19;Meal_Preparation;1436;3;478
59;5;1;3;Sleeping;33677;2;16838
59;5;1;4;Bed_to_Toilet;147;1;147
59;5;1;9;Relax;28622;15;1908
59;5;1;14;Eating;1899;3;633
59;5;1;18;Meal_Preparation;1244;6;207
60;6;1;3;Sleeping;20292;2;10146
60;6;1;4;Bed_to_Toilet;152;1;152
60;6;1;9;Relax;20177;10;2017
60;6;1;14;Eating;245;1;245
60;6;1;18;Meal_Preparation;1243;4;310
60;6;1;19;Meal_Preparation;608;1;608
61;0;0;3;Sleeping;29866;1;29866
61;0;0;9;Relax;30525;20;1526
61;0;0;14;Eating;354;1;354
61;0;0;18;Meal_Preparation;1627;4;406
61;0;0;19;Meal_Preparation;500;2;250
62;1;0;3;Sleeping;27497;2;13748
62;1;0;4;Bed_to_Toilet;201;1;201
62;1;0;9;Relax;22826;14;1630
62;1;0;14;Eating;2412;2;1206
62;1;0;18;Meal_Preparation;5207;11;473
63;2;0;3;Sleeping;57998;3;19332
63;2;0;4;Bed_to_Toilet;155;1;155
63;2;0;9;Relax;14279;10;1427
63;2;0;14;Eating;400;1;400
63;2;0;18;Meal_Preparation;1351;4;337
64;3;0;9;Relax;35729;14;2552
64;3;0;14;Eating;278;1;278
64;3;0;18;Meal_Preparation;1539;7;219
65;4;0;3;Sleeping;27871;2;13935
65;4;0;4;Bed_to_Toilet;203;1;203
65;4;0;9;Relax;28470;16;1779
65;4;0;14;Eating;325;1;325
65;4;0;18;Meal_Preparation;4122;11;374
66;5;1;3;Sleeping;53772;3;17924
66;5;1;4;Bed_to_Toilet;193;1;193
66;5;1;9;Relax;32430;14;2316
66;5;1;14;Eating;851;1;851
66;5;1;18;Meal_Preparation;2636;6;439
67;6;1;3;Sleeping;9017;1;9017
67;6;1;4;Bed_to_Toilet;194;1;194
67;6;1;9;Relax;26454;11;2404
67;6;1;10;Relax;604;1;604
67;6;1;14;Eating;414;1;414
67;6;1;18;Meal_Preparation;5152;7;736
68;0;0;3;Sleeping;24216;2;12108
68;0;0;4;Bed_to_Toilet;180;1;180
68;0;0;9;Relax;12570;3;4190
68;0;0;18;Meal_Preparation;2669;5;533
69;1;0;3;Sleeping;30816;2;15408
69;1;0;4;Bed_to_Toilet;209;1;209
69;1;0;9;Relax;25743;17;1514
69;1;0;14;Eating;893;2;446
69;1;0;18;Meal_Preparation;2702;9;300
70;2;0;3;Sleeping;57128;2;28564
70;2;0;9;Relax;14978;10;1497
70;2;0;14;Eating;308;1;308
70;2;0;18;Meal_Preparation;1109;5;221
70;2;0;19;Meal_Preparation;240;1;240
71;3;0;3;Sleeping;24532;1;24532
71;3;0;9;Relax;26012;17;1530
71;3;0;14;Eating;1380;1;1380
71;3;0;18;Meal_Preparation;2505;8;313
72;4;0;3;Sleeping;9563;1;9563
72;4;0;4;Bed_to_Toilet;158;1;158
72;4;0;9;Relax;29361;15;1957
72;4;0;14;Eating;1210;3;403
72;4;0;18;Meal_Preparation;3070;8;383
73;5;1;3;Sleeping;31420;2;15710
73;5;1;4;Bed_to_Toilet;181;1;181
73;5;1;9;Relax;14291;12;1190
73;5;1;18;Meal_Preparation;9006;14;643
74;6;1;3;Sleeping;30091;2;15045
74;6;1;9;Relax;22971;13;1767
74;6;1;18;Meal_Preparation;4167;13;320
75;0;0;3;Sleeping;27683;2;13841
75;0;0;4;Bed_to_Toilet;249;1;249
75;0;0;9;Relax;28075;20;1403
75;0;0;14;Eating;2662;1;2662
75;0;0;18;Meal_Preparation;3405;7;486
76;1;0;3;Sleeping;28413;2;14206
76;1;0;4;Bed_to_Toilet;180;2;90
76;1;0;9;Relax;18748;14;1339
76;1;0;14;Eating;770;2;385
76;1;0;18;Meal_Preparation;7777;13;598
77;2;0;3;Sleeping;31196;2;15598
77;2;0;4;Bed_to_Toilet;131;1;131
77;2;0;9;Relax;20074;11;1824
77;2;0;14;Eating;396;2;198
77;2;0;18;Meal_Preparation;2160;9;240
78;3;0;3;Sleeping;19870;1;19870
78;3;0;9;Relax;28899;15;1926
78;3;0;14;Eating;476;2;238
78;3;0;18;Meal_Preparation;3359;10;335
79;4;0;3;Sleeping;24736;1;24736
79;4;0;9;Relax;25163;11;2287
79;4;0;18;Meal_Preparation;2115;7;302
79;4;0;19;Meal_Preparation;222;1;222
80;5;1;3;Sleeping;47526;3;15842
80;5;1;4;Bed_to_Toilet;203;1;203
80;5;1;9;Relax;24724;19;1301
80;5;1;14;Eating;222;1;222
80;5;1;18;Meal_Preparation;2136;8;267
81;6;1;3;Sleeping;28712;1;28712
81;6;1;9;Relax;37388;11;3398
81;6;1;18;Meal_Preparation;3194;4;798
82;0;0;9;Relax;41580;17;2445
82;0;0;14;Eating;650;2;325
82;0;0;18;Meal_Preparation;2131;10;213
83;1;0;3;Sleeping;19176;1;19176
83;1;0;9;Relax;34189;13;2629
83;1;0;14;Eating;1749;4;437
83;1;0;18;Meal_Preparation;12944;15;862
84;2;0;9;Relax;29440;15;1962
84;2;0;14;Eating;609;2;304
84;2;0;18;Meal_Preparation;2413;7;344
85;3;0;3;Sleeping;49394;2;24697
85;3;0;9;Relax;24160;12;2013
85;3;0;18;Meal_Preparation;2352;5;470
86;4;0;9;Relax;18586;9;2065
86;4;0;14;Eating;2546;2;1273
86;4;0;18;Meal_Preparation;8774;11;797
87;5;1;3;Sleeping;27851;2;13925
87;5;1;4;Bed_to_Toilet;169;1;169
87;5;1;9;Relax;8496;8;1062
87;5;1;10;Relax;5908;4;1477
87;5;1;18;Meal_Preparation;2496;12;208
87;5;1;19;Meal_Preparation;265;1;265
88;6;1;3;Sleeping;38332;2;19166
88;6;1;9;Relax;36754;16;2297
88;6;1;18;Meal_Preparation;2422;7;346
89;0;0;3;Sleeping;14470;1;14470
89;0;0;4;Bed_to_Toilet;174;1;174
89;0;0;9;Relax;23496;11;2136
89;0;0;18;Meal_Preparation;4710;17;277
90;1;0;3;Sleeping;38805;3;12935
90;1;0;4;Bed_to_Toilet;167;1;167
90;1;0;9;Relax;13429;7;1918
90;1;0;14;Eating;1153;1;1153
90;1;0;18;Meal_Preparation;2348;9;260
91;2;0;3;Sleeping;14310;1;14310
91;2;0;4;Bed_to_Toilet;258;1;258
91;2;0;9;Relax;27610;14;1972
91;2;0;14;Eating;3095;3;1031
91;2;0;18;Meal_Preparation;985;5;197
92;3;0;3;Sleeping;22613;1;22613
92;3;0;9;Relax;23304;10;2330
92;3;0;14;Eating;360;1;360
92;3;0;18;Meal_Preparation;4249;6;708
93;4;0;3;Sleeping;49330;3;16443
93;4;0;4;Bed_to_Toilet;200;1;200
93;4;0;9;Relax;16335;10;1633
93;4;0;14;Eating;477;1;477
93;4;0;18;Meal_Preparation;2392;7;341
94;5;1;9;Relax;39422;15;2628
94;5;1;18;Meal_Preparation;3650;5;730
95;6;1;3;Sleeping;35285;2;17642
95;6;1;9;Relax;41629;17;2448
95;6;1;18;Meal_Preparation;1873;5;374
96;0;0;3;Sleeping;7371;1;7371
96;0;0;4;Bed_to_Toilet;139;1;139
96;0;0;9;Relax;30170;15;2011
96;0;0;10;Relax;555;1;555
96;0;0;14;Eating;712;3;237
96;0;0;18;Meal_Preparation;3863;7;551
97;1;0;3;Sleeping;20931;2;10465
97;1;0;4;Bed_to_Toilet;375;1;375
97;1;0;9;Relax;37720;19;1985
97;1;0;18;Meal_Preparation;5416;8;677
98;2;0;3;Sleeping;47466;3;15822
98;2;0;4;Bed_to_Toilet;106;1;106
98;2;0;9;Relax;21719;15;1447
98;2;0;14;Eating;285;1;285
98;2;0;18;Meal_Preparation;3938;10;393
98;2;0;19;Meal_Preparation;165;1;165
99;3;0;9;Relax;32967;26;1267
99;3;0;14;Eating;1280;2;640
99;3;0;18;Meal_Preparation;4961;12;413
99;3;0;19;Meal_Preparation;253;1;253
100;4;0;3;Sleeping;19067;1;19067
100;4;0;9;Relax;27560;15;1837
100;4;0;14;Eating;687;1;687
100;4;0;18;Meal_Preparation;1464;4;366
100;4;0;19;Meal_Preparation;706;2;353
101;5;1;3;Sleeping;69150;3;23050
101;5;1;4;Bed_to_Toilet;229;1;229
101;5;1;9;Relax;18981;11;1725
101;5;1;18;Meal_Preparation;3132;5;626
102;6;1;3;Sleeping;641;1;641
102;6;1;9;Relax;38446;17;2261
102;6;1;18;Meal_Preparation;3403;6;567
103;0;0;3;Sleeping;26086;2;13043
103;0;0;4;Bed_to_Toilet;139;1;139
103;0;0;9;Relax;23314;15;1554
103;0;0;14;Eating;2222;1;2222
103;0;0;18;Meal_Preparation;4115;7;587
104;1;0;3;Sleeping;28484;2;14242
104;1;0;4;Bed_to_Toilet;133;1;133
104;1;0;9;Relax;22892;11;2081
104;1;0;14;Eating;285;1;285
104;1;0;18;Meal_Preparation;1041;7;148
105;2;0;3;Sleeping;27120;1;27120
105;2;0;9;Relax;27394;16;1712
105;2;0;14;Eating;896;2;448
105;2;0;18;Meal_Preparation;1633;7;233
106;3;0;3;Sleeping;45719;2;22859
106;3;0;9;Relax;17140;10;1714
106;3;0;14;Eating;191;1;191
106;3;0;18;Meal_Preparation;2238;8;279
107;4;0;3;Sleeping;8331;1;8331
107;4;0;4;Bed_to_Toilet;188;1;188
107;4;0;9;Relax;15463;16;966
107;4;0;14;Eating;7611;6;1268
107;4;0;18;Meal_Preparation;8042;12;670
108;5;1;3;Sleeping;21505;2;10752
108;5;1;4;Bed_to_Toilet;176;1;176
108;5;1;9;Relax;20205;9;2245
108;5;1;14;Eating;249;1;249
108;5;1;18;Meal_Preparation;1187;2;593
109;6;1;3;Sleeping;24455;1;24455
109;6;1;9;Relax;31511;15;2100
109;6;1;14;Eating;382;1;382
109;6;1;18;Meal_Preparation;17134;20;856
110;0;0;3;Sleeping;23598;1;23598
110;0;0;9;Relax;57736;21;2749
110;0;0;18;Meal_Preparation;1906;7;272
