dia;dia_semana;fim_semana;local;atividade;duracao;frequencia;duracao/frequencia
111;1;0;3;Sleeping;17167;1;17167
111;1;0;9;Relax;31886;16;1992
111;1;0;14;Eating;950;2;475
111;1;0;18;Meal_Preparation;3359;10;335
112;2;0;3;Sleeping;39279;2;19639
112;2;0;9;Relax;38979;24;1624
112;2;0;10;Relax;1881;1;1881
112;2;0;14;Eating;381;1;381
112;2;0;18;Meal_Preparation;1641;4;410
112;2;0;19;Meal_Preparation;1353;3;451
113;3;0;3;Sleeping;2811;1;2811
113;3;0;4;Bed_to_Toilet;156;1;156
113;3;0;9;Relax;29961;16;1872
113;3;0;18;Meal_Preparation;2549;9;283
114;4;0;3;Sleeping;28444;1;28444
114;4;0;9;Relax;42837;17;2519
114;4;0;14;Eating;765;1;765
114;4;0;18;Meal_Preparation;3116;7;445
114;4;0;19;Meal_Preparation;910;1;910
115;5;1;3;Sleeping;40771;2;20385
115;5;1;9;Relax;37216;19;1958
115;5;1;14;Eating;2395;1;2395
115;5;1;18;Meal_Preparation;5145;11;467
116;6;1;8;Relax;332;1;332
116;6;1;9;Relax;31996;13;2461
116;6;1;18;Meal_Preparation;1079;3;359
117;0;0;3;Sleeping;51599;3;17199
117;0;0;4;Bed_to_Toilet;141;1;141
117;0;0;9;Relax;31844;16;1990
117;0;0;14;Eating;412;3;137
117;0;0;18;Meal_Preparation;2955;6;492
118;1;0;3;Sleeping;21930;2;10965
118;1;0;4;Bed_to_Toilet;107;1;107
118;1;0;9;Relax;25585;11;2325
118;1;0;17;Meal_Preparation;539;1;539
118;1;0;18;Meal_Preparation;9964;16;622
119;2;0;3;Sleeping;31365;2;15682
119;2;0;4;Bed_to_Toilet;161;1;161
119;2;0;9;Relax;21767;17;1280
119;2;0;14;Eating;211;1;211
119;2;0;18;Meal_Preparation;6412;9;712
120;3;0;3;Sleeping;23770;2;11885
120;3;0;4;Bed_to_Toilet;191;1;191
120;3;0;9;Relax;24232;14;1730
120;3;0;18;Meal_Preparation;1444;5;288
121;4;0;3;Sleeping;32733;2;16366
121;4;0;4;Bed_to_Toilet;130;1;130
121;4;0;9;Relax;20946;12;1745
121;4;0;18;Meal_Preparation;3156;8;394
122;5;1;9;Relax;26540;7;3791
122;5;1;18;Meal_Preparation;2582;6;430
123;6;1;3;Sleeping;24005;2;12002
123;6;1;4;Bed_to_Toilet;255;1;255
123;6;1;9;Relax;42315;17;2489
123;6;1;18;Meal_Preparation;4435;9;492
124;0;0;3;Sleeping;56579;3;18859
124;0;0;4;Bed_to_Toilet;157;1;157
124;0;0;9;Relax;26205;17;1541
124;0;0;14;Eating;3594;4;898
124;0;0;18;Meal_Preparation;1938;5;387
125;1;0;3;Sleeping;27560;1;27560
125;1;0;9;Relax;28555;18;1586
125;1;0;14;Eating;1398;1;1398
125;1;0;18;Meal_Preparation;3011;17;177
125;1;0;19;Meal_Preparation;616;1;616
126;2;0;3;Sleeping;24326;1;24326
126;2;0;9;Relax;17718;14;1265
126;2;0;14;Eating;274;1;274
126;2;0;18;Meal_Preparation;1944;6;324
127;3;0;3;Sleeping;30680;2;15340
127;3;0;4;Bed_to_Toilet;302;1;302
127;3;0;9;Relax;22814;13;1754
127;3;0;14;Eating;206;1;206
127;3;0;18;Meal_Preparation;2469;4;617
128;4;0;9;Relax;23224;12;1935
128;4;0;10;Relax;731;1;731
128;4;0;14;Eating;1593;2;796
128;4;0;18;Meal_Preparation;3485;15;232
129;5;1;3;Sleeping;52774;2;26387
129;5;1;9;Relax;24821;12;2068
129;5;1;18;Meal_Preparation;8844;10;884
130;6;1;3;Sleeping;26985;1;26985
130;6;1;9;Relax;32341;11;2940
130;6;1;14;Eating;617;1;617
130;6;1;18;Meal_Preparation;1947;6;324
131;0;0;3;Sleeping;737;1;737
131;0;0;4;Bed_to_Toilet;148;1;148
131;0;0;9;Relax;37472;17;2204
131;0;0;14;Eating;287;3;95
131;0;0;18;Meal_Preparation;1353;5;270
132;1;0;3;Sleeping;26189;1;26189
132;1;0;9;Relax;18270;11;1660
132;1;0;14;Eating;2434;4;608
132;1;0;18;Meal_Preparation;9968;13;766
133;2;0;3;Sleeping;21596;3;7198
133;2;0;4;Bed_to_Toilet;114;1;114
133;2;0;9;Relax;45951;15;3063
133;2;0;18;Meal_Preparation;3043;5;608
133;2;0;18;Relax;1003;1;1003
134;3;0;3;Sleeping;29207;1;29207
134;3;0;9;Relax;27709;10;2770
134;3;0;14;Eating;412;1;412
134;3;0;18;Meal_Preparation;2251;6;375
135;4;0;3;Sleeping;51681;5;10336
135;4;0;9;Relax;35269;14;2519
135;4;0;18;Meal_Preparation;2587;5;517
136;5;1;3;Sleeping;11264;1;11264
136;5;1;4;Bed_to_Toilet;182;1;182
136;5;1;9;Relax;42759;20;2137
136;5;1;18;Meal_Preparation;2920;8;365
137;6;1;3;Sleeping;36414;5;7282
137;6;1;4;Bed_to_Toilet;776;3;258
137;6;1;9;Relax;30205;12;2517
137;6;1;18;Meal_Preparation;1265;4;316
138;0;0;3;Sleeping;16349;1;16349
138;0;0;4;Bed_to_Toilet;105;1;105
138;0;0;9;Relax;28806;9;3200
138;0;0;14;Eating;639;2;319
138;0;0;18;Meal_Preparation;11628;8;1453
139;1;0;3;Sleeping;20279;1;20279
139;1;0;9;Relax;45848;14;3274
139;1;0;14;Eating;759;1;759
139;1;0;18;Meal_Preparation;3066;9;340
140;2;0;3;Sleeping;14014;1;14014
140;2;0;9;Relax;46155;9;5128
140;2;0;18;Meal_Preparation;1365;7;195
141;3;0;3;Sleeping;20031;2;10015
141;3;0;4;Bed_to_Toilet;474;1;474
141;3;0;9;Relax;41028;11;3729
141;3;0;14;Eating;622;2;311
141;3;0;18;Meal_Preparation;10216;5;2043
141;3;0;19;Meal_Preparation;682;1;682
142;4;0;3;Sleeping;34473;3;11491
142;4;0;9;Relax;43719;14;3122
142;4;0;10;Relax;443;1;443
142;4;0;18;Meal_Preparation;901;4;225
143;5;1;3;Sleeping;16279;1;16279
143;5;1;9;Relax;29204;15;1946
143;5;1;14;Eating;1446;3;482
143;5;1;18;Meal_Preparation;5996;20;299
143;5;1;19;Meal_Preparation;385;2;192
144;6;1;3;Sleeping;9417;1;9417
144;6;1;4;Bed_to_Toilet;126;1;126
144;6;1;9;Relax;42467;13;3266
144;6;1;10;Relax;1116;1;1116
144;6;1;14;Eating;2514;3;838
144;6;1;18;Meal_Preparation;3443;7;491
145;0;0;3;Sleeping;24806;2;12403
145;0;0;4;Bed_to_Toilet;180;1;180
145;0;0;9;Relax;45931;13;3533
145;0;0;14;Eating;535;1;535
145;0;0;18;Meal_Preparation;2173;5;434
146;1;0;3;Sleeping;15028;1;15028
146;1;0;9;Relax;36214;12;3017
146;1;0;18;Meal_Preparation;1898;4;474
147;2;0;3;Sleeping;24321;3;8107
147;2;0;4;Bed_to_Toilet;148;2;74
147;2;0;9;Relax;51510;16;3219
147;2;0;18;Meal_Preparation;1484;4;371
148;3;0;3;Sleeping;21932;2;10966
148;3;0;4;Bed_to_Toilet;220;1;220
148;3;0;9;Relax;28018;11;2547
148;3;0;10;Relax;3115;2;1557
148;3;0;18;Meal_Preparation;1664;6;277
149;4;0;3;Sleeping;16460;2;8230
149;4;0;4;Bed_to_Toilet;152;1;152
149;4;0;9;Relax;42619;14;3044
149;4;0;18;Meal_Preparation;3726;9;414
150;5;1;3;Sleeping;20816;1;20816
150;5;1;9;Relax;25646;11;2331
150;5;1;18;Meal_Preparation;3743;7;534
151;6;1;3;Sleeping;37595;2;18797
151;6;1;9;Relax;19935;7;2847
151;6;1;14;Eating;354;1;354
151;6;1;18;Meal_Preparation;2607;8;325
152;0;0;3;Sleeping;42281;3;14093
152;0;0;9;Relax;48223;14;3444
152;0;0;18;Meal_Preparation;3630;5;726
153;1;0;3;Sleeping;16849;2;8424
153;1;0;4;Bed_to_Toilet;224;1;224
153;1;0;9;Relax;20085;8;2510
153;1;0;18;Meal_Preparation;1467;3;489
154;2;0;3;Sleeping;41507;2;20753
154;2;0;9;Relax;35140;13;2703
154;2;0;10;Relax;483;1;483
154;2;0;12;Relax;1645;1;1645
154;2;0;18;Meal_Preparation;4002;9;444
155;3;0;3;Sleeping;43331;3;14443
155;3;0;4;Bed_to_Toilet;248;2;124
155;3;0;9;Relax;26434;8;3304
155;3;0;10;Relax;703;1;703
155;3;0;14;Eating;1088;2;544
155;3;0;18;Meal_Preparation;5818;14;415
156;4;0;3;Sleeping;15149;1;15149
156;4;0;9;Relax;13936;5;2787
156;4;0;14;Eating;405;1;405
156;4;0;18;Meal_Preparation;1716;7;245
157;5;1;3;Sleeping;28892;2;14446
157;5;1;4;Bed_to_Toilet;115;1;115
157;5;1;9;Relax;35264;17;2074
157;5;1;18;Meal_Preparation;2739;9;304
157;5;1;19;Meal_Preparation;312;1;312
158;6;1;3;Sleeping;25608;2;12804
158;6;1;4;Bed_to_Toilet;198;1;198
158;6;1;9;Relax;32045;14;2288
158;6;1;18;Meal_Preparation;1838;7;262
159;0;0;3;Sleeping;39364;2;19682
159;0;0;4;Bed_to_Toilet;130;1;130
159;0;0;9;Relax;19525;11;1775
159;0;0;14;Eating;216;1;216
159;0;0;18;Meal_Preparation;3511;10;351
160;1;0;9;Relax;20315;10;2031
160;1;0;14;Eating;508;3;169
160;1;0;18;Meal_Preparation;9431;16;589
161;2;0;3;Sleeping;23085;2;11542
161;2;0;4;Bed_to_Toilet;123;1;123
161;2;0;9;Relax;28634;15;1908
161;2;0;14;Eating;593;1;593
161;2;0;18;Meal_Preparation;2338;10;233
162;3;0;3;Sleeping;48087;3;16029
162;3;0;4;Bed_to_Toilet;86;1;86
162;3;0;9;Relax;25713;18;1428
162;3;0;10;Relax;1365;3;455
162;3;0;14;Eating;2654;3;884
162;3;0;18;Meal_Preparation;2941;8;367
163;4;0;3;Sleeping;30701;2;15350
163;4;0;4;Bed_to_Toilet;143;1;143
163;4;0;9;Relax;24451;14;1746
163;4;0;10;Relax;1828;2;914
163;4;0;18;Meal_Preparation;4020;14;287
164;5;1;9;Relax;30506;11;2773
164;5;1;10;Relax;1693;2;846
164;5;1;18;Meal_Preparation;2547;6;424
165;6;1;3;Sleeping;25896;2;12948
165;6;1;4;Bed_to_Toilet;134;1;134
165;6;1;9;Relax;30129;15;2008
165;6;1;18;Meal_Preparation;4515;10;451
166;0;0;3;Sleeping;26914;2;13457
166;0;0;4;Bed_to_Toilet;119;1;119
166;0;0;9;Relax;37087;18;2060
166;0;0;14;Eating;358;1;358
166;0;0;18;Meal_Preparation;7089;9;787
167;1;0;3;Sleeping;43502;3;14500
167;1;0;4;Bed_to_Toilet;126;1;126
167;1;0;9;Relax;22406;11;2036
167;1;0;10;Relax;1363;1;1363
167;1;0;14;Eating;1381;2;690
167;1;0;18;Meal_Preparation;10136;13;779
168;2;0;3;Sleeping;17158;2;8579
168;2;0;4;Bed_to_Toilet;114;1;114
168;2;0;9;Relax;18260;11;1660
168;2;0;10;Relax;488;1;488
168;2;0;14;Eating;402;2;201
168;2;0;18;Meal_Preparation;2427;8;303
169;3;0;3;Sleeping;15842;1;15842
169;3;0;4;Bed_to_Toilet;161;1;161
169;3;0;9;Relax;32524;16;2032
169;3;0;10;Relax;382;1;382
169;3;0;18;Meal_Preparation;1509;4;377
170;4;0;3;Sleeping;42103;3;14034
170;4;0;4;Bed_to_Toilet;118;1;118
170;4;0;9;Relax;11647;6;1941
170;4;0;10;Relax;2252;1;2252
170;4;0;18;Meal_Preparation;1372;5;274
171;5;1;3;Sleeping;31062;2;15531
171;5;1;4;Bed_to_Toilet;98;1;98
171;5;1;9;Relax;27712;13;2131
171;5;1;10;Relax;675;2;337
171;5;1;18;Meal_Preparation;3797;10;379
172;6;1;9;Relax;31404;10;3140
172;6;1;18;Meal_Preparation;1406;5;281
173;0;0;3;Sleeping;37765;2;18882
173;0;0;9;Relax;37093;14;2649
173;0;0;14;Eating;358;1;358
173;0;0;18;Meal_Preparation;4053;8;506
174;1;0;9;Relax;35919;11;3265
174;1;0;10;Relax;1071;1;1071
174;1;0;14;Eating;294;1;294
174;1;0;18;Meal_Preparation;2726;7;389
175;2;0;3;Sleeping;40327;2;20163
175;2;0;9;Relax;15355;7;2193
175;2;0;18;Meal_Preparation;1935;4;483
176;3;0;3;Sleeping;16840;1;16840
176;3;0;9;Relax;16980;13;1306
176;3;0;10;Relax;1987;1;1987
176;3;0;18;Meal_Preparation;1369;4;342
177;4;0;3;Sleeping;37816;2;18908
177;4;0;4;Bed_to_Toilet;132;1;132
177;4;0;9;Relax;12463;9;1384
177;4;0;10;Relax;479;1;479
177;4;0;18;Meal_Preparation;3661;8;457
178;5;1;3;Sleeping;20244;1;20244
178;5;1;9;Relax;18026;14;1287
178;5;1;18;Meal_Preparation;2184;5;436
179;6;1;3;Sleeping;28375;2;14187
179;6;1;4;Bed_to_Toilet;149;1;149
179;6;1;9;Relax;32578;18;1809
179;6;1;18;Meal_Preparation;3967;9;440
180;0;0;3;Sleeping;17639;1;17639
180;0;0;9;Relax;20818;13;1601
180;0;0;18;Meal_Preparation;9532;11;866
181;1;0;3;Sleeping;34679;2;17339
181;1;0;4;Bed_to_Toilet;99;1;99
181;1;0;9;Relax;17302;12;1441
181;1;0;10;Relax;3166;3;1055
181;1;0;15;Meal_Preparation;463;1;463
181;1;0;18;Meal_Preparation;8591;17;505
182;2;0;3;Sleeping;19167;1;19167
182;2;0;9;Relax;20656;14;1475
182;2;0;14;Eating;401;1;401
182;2;0;18;Meal_Preparation;4839;9;537
183;3;0;3;Sleeping;25655;1;25655
183;3;0;9;Relax;26633;13;2048
183;3;0;18;Meal_Preparation;3082;6;513
184;4;0;9;Relax;36655;12;3054
184;4;0;14;Eating;352;1;352
184;4;0;18;Meal_Preparation;3168;8;396
185;5;1;3;Sleeping;43799;2;21899
185;5;1;9;Relax;27730;11;2520
185;5;1;10;Relax;3216;2;1608
185;5;1;17;Meal_Preparation;469;1;469
185;5;1;18;Meal_Preparation;2223;6;370
186;6;1;3;Sleeping;34716;2;17358
186;6;1;4;Bed_to_Toilet;130;1;130
186;6;1;9;Relax;12455;8;1556
186;6;1;10;Relax;5424;6;904
186;6;1;18;Meal_Preparation;1116;4;279
187;0;0;3;Sleeping;16380;1;16380
187;0;0;9;Relax;33691;15;2246
187;0;0;10;Relax;671;1;671
187;0;0;14;Eating;662;2;331
187;0;0;18;Meal_Preparation;4117;6;686
188;1;0;3;Sleeping;7498;1;7498
188;1;0;4;Bed_to_Toilet;131;1;131
188;1;0;9;Relax;24732;9;2748
188;1;0;14;Eating;2827;2;1413
188;1;0;18;Meal_Preparation;949;3;316
189;2;0;3;Sleeping;43534;3;14511
189;2;0;9;Relax;10586;6;1764
189;2;0;10;Relax;7293;7;1041
189;2;0;14;Eating;443;1;443
189;2;0;18;Meal_Preparation;2041;4;510
190;3;0;3;Sleeping;36938;4;9234
190;3;0;4;Bed_to_Toilet;116;1;116
190;3;0;9;Relax;16552;8;2069
190;3;0;10;Relax;2573;3;857
190;3;0;14;Eating;198;1;198
190;3;0;18;Meal_Preparation;1426;5;285
191;4;0;3;Sleeping;7315;1;7315
191;4;0;4;Bed_to_Toilet;152;1;152
191;4;0;9;Relax;23058;12;1921
191;4;0;10;Relax;2285;3;761
191;4;0;14;Eating;420;1;420
191;4;0;18;Meal_Preparation;5540;10;554
192;5;1;3;Sleeping;40090;3;13363
192;5;1;4;Bed_to_Toilet;158;1;158
192;5;1;9;Relax;23986;14;1713
192;5;1;10;Relax;2691;4;672
192;5;1;18;Meal_Preparation;2209;6;368
193;6;1;3;Sleeping;29244;2;14622
193;6;1;4;Bed_to_Toilet;180;1;180
193;6;1;9;Relax;22248;10;2224
193;6;1;10;Relax;4637;4;1159
193;6;1;18;Meal_Preparation;1016;2;508
194;0;0;3;Sleeping;27825;1;27825
194;0;0;9;Relax;33696;10;3369
194;0;0;10;Relax;1546;2;773
194;0;0;14;Eating;373;2;186
194;0;0;18;Meal_Preparation;1488;6;248
195;1;0;9;Relax;29399;10;2939
195;1;0;14;Eating;235;1;235
195;1;0;18;Meal_Preparation;1887;5;377
196;2;0;3;Sleeping;43503;2;21751
196;2;0;9;Relax;25629;12;2135
196;2;0;10;Relax;738;1;738
196;2;0;18;Meal_Preparation;2759;10;275
197;3;0;3;Sleeping;31888;2;15944
197;3;0;4;Bed_to_Toilet;189;1;189
197;3;0;9;Relax;23922;7;3417
197;3;0;14;Eating;3847;2;1923
197;3;0;18;Meal_Preparation;2256;7;322
198;4;0;3;Sleeping;26918;1;26918
198;4;0;9;Relax;20576;11;1870
198;4;0;18;Meal_Preparation;2250;8;281
199;5;1;3;Sleeping;16240;1;16240
199;5;1;9;Relax;34012;15;2267
199;5;1;14;Eating;513;1;513
199;5;1;18;Meal_Preparation;4337;6;722
199;5;1;18;Relax;468;1;468
200;6;1;3;Sleeping;34124;2;17062
200;6;1;4;Bed_to_Toilet;197;1;197
200;6;1;9;Relax;9472;9;1052
200;6;1;10;Relax;3608;3;1202
200;6;1;14;Eating;2297;4;574
200;6;1;18;Meal_Preparation;10002;15;666
201;0;0;3;Sleeping;-28061;6;-4676
201;0;0;4;Bed_to_Toilet;364;2;182
201;0;0;9;Relax;64055;20;3202
201;0;0;10;Relax;7796;4;1949
201;0;0;14;Eating;1468;4;367
201;0;0;18;Meal_Preparation;6744;18;374
202;1;0;3;Sleeping;15494;1;15494
202;1;0;9;Relax;21711;7;3101
202;1;0;10;Relax;626;1;626
202;1;0;18;Meal_Preparation;911;3;303
203;2;0;3;Sleeping;40108;4;10027
203;2;0;4;Bed_to_Toilet;116;1;116
203;2;0;9;Relax;25471;9;2830
203;2;0;18;Meal_Preparation;2248;5;449
204;3;0;3;Sleeping;23123;1;23123
204;3;0;9;Relax;25292;11;2299
204;3;0;14;Eating;576;1;576
204;3;0;18;Meal_Preparation;335;2;167
205;4;0;3;Sleeping;24191;2;12095
205;4;0;4;Bed_to_Toilet;119;1;119
205;4;0;9;Relax;24473;12;2039
205;4;0;10;Relax;524;1;524
205;4;0;18;Meal_Preparation;2922;8;365
206;5;1;3;Sleeping;24912;2;12456
206;5;1;9;Relax;29516;10;2951
206;5;1;10;Relax;3450;2;1725
206;5;1;14;Eating;611;1;611
206;5;1;18;Meal_Preparation;3847;13;295
207;6;1;3;Sleeping;22471;2;11235
207;6;1;4;Bed_to_Toilet;128;1;128
207;6;1;9;Relax;25774;8;3221
207;6;1;18;Meal_Preparation;6005;7;857
208;0;0;3;Sleeping;31515;2;15757
208;0;0;4;Bed_to_Toilet;131;1;131
209;1;0;3;Sleeping;30632;2;15316
209;1;0;4;Bed_to_Toilet;121;1;121
209;1;0;9;Relax;26183;10;2618
209;1;0;14;Eating;3283;4;820
209;1;0;18;Meal_Preparation;2549;6;424
210;2;0;3;Sleeping;23750;1;23750
210;2;0;9;Relax;25243;10;2524
210;2;0;10;Relax;3989;3;1329
210;2;0;14;Eating;390;1;390
210;2;0;18;Meal_Preparation;3806;7;543
211;3;0;3;Sleeping;26662;4;6665
211;3;0;4;Bed_to_Toilet;117;1;117
211;3;0;9;Relax;22417;10;2241
211;3;0;10;Relax;1834;2;917
211;3;0;14;Eating;726;1;726
211;3;0;18;Meal_Preparation;1404;4;351
212;4;0;3;Sleeping;7680;1;7680
212;4;0;4;Bed_to_Toilet;172;1;172
212;4;0;9;Relax;29082;10;2908
212;4;0;10;Relax;771;1;771
212;4;0;14;Eating;400;1;400
212;4;0;18;Meal_Preparation;6042;5;1208
213;5;1;3;Sleeping;34500;2;17250
213;5;1;9;Relax;27752;16;1734
213;5;1;10;Relax;639;1;639
213;5;1;18;Meal_Preparation;11237;18;624
214;6;1;3;Sleeping;21549;2;10774
214;6;1;4;Bed_to_Toilet;139;1;139
214;6;1;9;Relax;27261;18;1514
214;6;1;10;Relax;1710;3;570
214;6;1;18;Meal_Preparation;1168;2;584
215;0;0;3;Sleeping;32966;2;16483
215;0;0;4;Bed_to_Toilet;190;1;190
215;0;0;9;Relax;13964;8;1745
215;0;0;10;Relax;7144;9;793
215;0;0;12;Relax;3724;2;1862
215;0;0;13;Relax;1611;1;1611
215;0;0;14;Eating;657;2;328
215;0;0;18;Meal_Preparation;3488;7;498
216;1;0;3;Sleeping;23316;2;11658
216;1;0;4;Bed_to_Toilet;149;1;149
216;1;0;9;Relax;15343;12;1278
216;1;0;10;Relax;3291;2;1645
216;1;0;14;Eating;439;1;439
216;1;0;18;Meal_Preparation;4865;6;810
216;1;0;19;Meal_Preparation;285;1;285
217;2;0;3;Sleeping;24644;2;12322
217;2;0;4;Bed_to_Toilet;175;1;175
217;2;0;9;Relax;16971;12;1414
217;2;0;10;Relax;7134;3;2378
217;2;0;14;Eating;1008;2;504
217;2;0;18;Meal_Preparation;3144;10;314
218;3;0;3;Sleeping;31566;2;15783
218;3;0;4;Bed_to_Toilet;278;1;278
218;3;0;9;Relax;9816;4;2454
218;3;0;10;Relax;7305;3;2435
218;3;0;18;Meal_Preparation;1353;5;270
219;4;0;3;Sleeping;21487;1;21487
219;4;0;9;Relax;17812;6;2968
219;4;0;10;Relax;1031;2;515
219;4;0;14;Eating;1060;2;530
219;4;0;18;Meal_Preparation;4650;11;422
220;5;1;3;Sleeping;6460;1;6460
220;5;1;9;Relax;28229;12;2352
220;5;1;10;Relax;5269;2;2634
220;5;1;12;Relax;2345;2;1172
220;5;1;13;Relax;2529;1;2529
220;5;1;14;Eating;311;1;311
220;5;1;18;Meal_Preparation;9121;8;1140
